schedule,time,history
S01,0,S01
-,1,S01
-,2,S01
-,3,moving
-,4,S02
S02,5,S02
-,6,S02
-,7,S02
-,8,moving
-,9,S04
S04,10,S04
-,11,S04
-,12,S04
-,13,moving
-,14,S05
S05,15,S05
-,16,S05
-,17,S05
-,18,moving
-,19,S06
S06,20,S06
-,21,S06
-,22,S06
-,23,moving
-,24,S07
S07,25,S07
-,26,S07
-,27,S07
-,28,moving
-,29,S05
S05,30,S05
-,31,S05
-,32,S05
-,33,moving
-,34,S02
S02,35,S02
-,36,S02
-,37,S02
-,38,moving
-,39,S03
S03,40,S03
-,41,S03
-,42,S03
-,43,moving
-,44,S01
S01,45,(FINISH)
