schedule,time,history
S05,0,S05
-,1,S06
-,2,S06
-,3,S06
-,4,S06
S06,5,S07
-,6,S03
-,7,S05
-,8,S06
-,9,S06
S07,10,S06
-,11,S07
-,12,S07
-,13,S07
-,14,S07
S03,15,S03
-,16,S05
-,17,(FINISH)
S05,20,-
S06,25,-
S07,30,-
S03,35,-
S05,40,-
