schedule,time,history
S01,0,S01
-,1,S01
-,2,S01
-,3,S02
-,4,S02
S02,5,S03
-,6,S04
-,7,S04
-,8,S04
-,9,S04
S03,10,S01
-,11,S01
-,12,S01
-,13,S01
-,14,S01
S04,15,S01
-,16,S01
-,17,S01
-,18,S02
-,19,S03
S01,20,S03
-,21,S03
-,22,S03
-,23,S04
-,24,S04
S02,25,S01
-,26,(FINISH)
S03,30,-
S04,35,-
S01,40,-
