schedule,time,history
S01,0,S01
-,1,S02
-,2,S02
-,3,S02
-,4,S02
S02,5,S02
-,6,S03
-,7,S03
-,8,S03
-,9,S03
S03,10,S03
-,11,S04
-,12,S01
-,13,S02
-,14,S02
S04,15,S02
-,16,S03
-,17,S04
-,18,S04
-,19,S04
S01,20,S04
-,21,S01
-,22,(FINISH)
S02,25,-
S03,30,-
S04,35,-
S01,40,-
